Maths..,Solve.Maths,,,Agree - mean,47.11,,Disagree,30.866,,Neither,36.4
29.82,Disagree,,,,,,,,,,
30.51,Agree,,,,,,,,,,
21.05,Agree,,,,,,,,,,
19.3,Agree,,,,,,,,,,
23.73,Disagree,,,,,,,,,,
26.32,Disagree,,,,,,,,,,
22.03,Agree,,,,,,,,,,
26.32,Agree,,,,,,,,,,
28.81,Disagree,,,,,,,,,,
22.81,Neither,,,,,,,,,,
18.64,Disagree,,,,,,,,,,
22.81,Disagree,,,,,,,,,,
25.42,Disagree,,,,,,,,,,
31.58,Disagree,,,,,,,,,,
13.56,Agree,,,,,,,,,,
15.79,Agree,,,,,,,,,,
15.25,Agree,,,,,,,,,,
8.77,Agree,,,,,,,,,,
20.34,Agree,,,,,,,,,,
29.82,Agree,,,,,,,,,,
30.51,Neither,,,,,,,,,,
35.09,Neither,,,,,,,,,,
45.76,Neither,,,,,,,,,,
42.11,Agree,,,,,,,,,,
30.51,Disagree,,,,,,,,,,
29.82,Disagree,,,,,,,,,,
44.07,Agree,,,,,,,,,,
49.12,Agree,,,,,,,,,,
50.85,Agree,,,,,,,,,,
80.7,Agree,,,,,,,,,,
40.68,Agree,,,,,,,,,,
64.91,Agree,,,,,,,,,,
74.58,Agree,,,,,,,,,,
71.93,Agree,,,,,,,,,,
72.88,Agree,,,,,,,,,,
73.68,Agree,,,,,,,,,,
75.44,Agree,,,,,,,,,,
76.27,Agree,,,,,,,,,,
68.42,Agree,,,,,,,,,,
81.36,Agree,,,,,,,,,,
76.27,Disagree,,,,,,,,,,
70.18,Agree,,,,,,,,,,
79.66,Agree,,,,,,,,,,
68.42,Agree,,,,,,,,,,
76.27,Agree,,,,,,,,,,
77.97,Agree,,,,,,,,,,
68.42,Agree,,,,,,,,,,
81.36,Agree,,,,,,,,,,
71.93,Agree,,,,,,,,,,
74.58,Agree,,,,,,,,,,
75.44,Agree,,,,,,,,,,
20.34,Disagree,,,,,,,,,,
8.77,Disagree,,,,,,,,,,
8.47,Disagree,,,,,,,,,,
7.02,Disagree,,,,,,,,,,
45.76,Disagree,,,,,,,,,,
43.86,Disagree,,,,,,,,,,
44.07,Disagree,,,,,,,,,,
27.12,Agree,,,,,,,,,,
20.34,Agree,,,,,,,,,,
25.42,Agree,,,,,,,,,,
23.73,Neither,,,,,,,,,,
22.03,Agree,,,,,,,,,,
22.03,Agree,,,,,,,,,,
33.9,Agree,,,,,,,,,,
25.42,Agree,,,,,,,,,,
35.59,Agree,,,,,,,,,,
18.64,Agree,,,,,,,,,,
29.82,Neither,,,,,,,,,,
24.56,Neither,,,,,,,,,,
40.35,Agree,,,,,,,,,,
31.58,Neither,,,,,,,,,,
26.32,Agree,,,,,,,,,,
28.07,Disagree,,,,,,,,,,
19.3,Neither,,,,,,,,,,
17.54,Neither,,,,,,,,,,
14.04,Neither,,,,,,,,,,
22.81,Agree,,,,,,,,,,
42.37,Agree,,,,,,,,,,
55.93,Neither,,,,,,,,,,
57.63,Disagree,,,,,,,,,,
62.71,Neither,,,,,,,,,,
50.85,Neither,,,,,,,,,,
67.8,Neither,,,,,,,,,,
52.54,Neither,,,,,,,,,,
55.93,Neither,,,,,,,,,,
24.56,Neither,,,,,,,,,,
19.3,Neither,,,,,,,,,,
12.28,Neither,,,,,,,,,,
28.07,Neither,,,,,,,,,,
36.84,Neither,,,,,,,,,,
59.65,Neither,,,,,,,,,,
52.63,Neither,,,,,,,,,,
59.65,Agree,,,,,,,,,,
