Father.edu,Age,Science..
Illiterate,13 years,NA
,15 years,NA
Degree & above,14 years,NA
Secondary,13 years,NA
Primary,14 years,27.27
Primary,13 years,27.27
,14 years,NA
Sr secondary,,18.18
Primary,,23.64
Secondary,13 years,NA
Secondary,15 years,NA
Degree & above,13 years,NA
Illiterate,15 years,NA
,13 years,NA
Sr secondary,15 years,30.91
,15 years,25.45
Sr secondary,13 years,NA
Secondary,15 years,NA
Illiterate,13 years,NA
Secondary,15 years,NA
Sr secondary,14 years,NA
Primary,13 years,NA
Primary,13 years,NA
Secondary,13 years,NA
Secondary,12 years,27.27
Illiterate,13 years,30.91
Primary,14 years,NA
Secondary,13 years,NA
Sr secondary,13 years,NA
Primary,14 years,NA
Primary,14 years,NA
Secondary,13 years,NA
Primary,13 years,27.27
Secondary,14 years,32.73
Secondary,14 years,NA
Illiterate,13 years,NA
,13 years,NA
Primary,14 years,NA
Illiterate,13 years,NA
Illiterate,13 years,NA
Illiterate,14 years,30.91
Illiterate,13 years,18.18
Primary,14 years,NA
Illiterate,14 years,NA
Primary,14 years,NA
Secondary,13 years,NA
Sr secondary,14 years,NA
Secondary,14 years,NA
Secondary,14 years,38.18
Illiterate,14 years,38.18
Illiterate,13 years,NA
Primary,14 years,NA
Illiterate,14 years,NA
Secondary,13 years,NA
Sr secondary,15 years,NA
Sr secondary,14 years,NA
Illiterate,13 years,25.45
Secondary,14 years,27.27
Illiterate,14 years,NA
,14 years,NA
Primary,14 years,NA
Sr secondary,14 years,NA
Secondary,13 years,NA
,14 years,NA
Illiterate,13 years,14.55
Illiterate,14 years,10.91
Illiterate,16+ years,NA
,16+ years,NA
,16+ years,NA
Secondary,13 years,NA
Secondary,16+ years,NA
Secondary,14 years,NA
Secondary,13 years,9.09
,15 years,23.64
Illiterate,16+ years,38.18
Primary,14 years,25.45
Sr secondary,14 years,NA
Secondary,14 years,NA
Sr secondary,15 years,NA
Secondary,13 years,NA
Primary,15 years,NA
Primary,15 years,NA
Illiterate,15 years,43.64
Secondary,15 years,14.55
Secondary,14 years,NA
Primary,14 years,NA
Secondary,13 years,NA
Secondary,16+ years,NA
Degree & above,14 years,NA
Primary,14 years,NA
Primary,14 years,NA
Primary,14 years,NA
Primary,14 years,NA
Primary,14 years,NA
Illiterate,14 years,56.36
Illiterate,14 years,70.91
Primary,14 years,NA
Primary,14 years,NA
Illiterate,14 years,NA
Secondary,14 years,NA
Secondary,14 years,NA
Secondary,13 years,NA
Secondary,13 years,54.55
Sr secondary,15 years,61.82
Secondary,13 years,NA
Secondary,13 years,NA
Primary,13 years,NA
Primary,14 years,NA
Primary,14 years,NA
Primary,14 years,NA
Primary,14 years,60
Illiterate,14 years,50.91
Primary,14 years,NA
Primary,14 years,NA
Primary,14 years,NA
Primary,13 years,NA
Primary,13 years,NA
Primary,13 years,NA
Secondary,13 years,41.82
Secondary,14 years,36.36
Illiterate,15 years,NA
Secondary,14 years,NA
Primary,15 years,NA
Sr secondary,14 years,NA
Illiterate,14 years,NA
Primary,14 years,NA
Primary,14 years,43.64
Primary,14 years,40
Primary,14 years,NA
Primary,14 years,NA
Secondary,13 years,NA
Secondary,13 years,NA
Secondary,13 years,60
Secondary,13 years,63.64
